Unnamed: 0,scrapedate,lastupdated,stateagency,facility,facilitytier,fac_inc_tested,fac_inc_positive,fac_inc_active,fac_inc_negative,fac_staff_positive,fac_staff_deaths,sum_inc_recovered,sum_inc_deaths,sum_staff_recovered,fac_inc_isolated,fac_inc_quarantined,fac_inc_pending,sum_inc_firstdose,sum_inc_seconddose,sum_inc_offeredvaccine,fac_state,fac_address,fac_zip,fac_facilitytier,sum_inc_positive,sum_inc_tested,sum_staff_positive,match,state
958,2021-03-05,,OR,SRCI,,1679.0,487.0,1.0,1192.0,227.0,,,,,,,,,,,OR,"777 Stanton Blvd., Ontario, Oregon 97914-8335",97914-8335,,3544.0,24816.0,830.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
959,2021-03-05,,OR,TRCI,,3411.0,766.0,15.0,2645.0,127.0,,,,,,,,,,,OR,"82911 Beach Access Road, Umatilla, OR 97882",97882,,3544.0,24816.0,830.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
960,2021-03-05,,OR,WCCF,,844.0,91.0,10.0,753.0,13.0,,,,,,,,,,,OR,"20654 Rabbit Hill Road, Lakeview, OR 97630-5000",97630-5000,,3544.0,24816.0,830.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
961,2021-03-06,,OR,CCCF,,3102.0,239.0,1.0,2863.0,42.0,,,,,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
962,2021-03-06,,OR,CCIC (Intake),,4551.0,81.0,0.0,4470.0,12.0,,,,,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
963,2021-03-06,,OR,CRCI,,1555.0,257.0,4.0,1298.0,25.0,,,,,,,,,,,OR,"9111 NE Sunderland Avenue, Portland, OR 97211-1799",97211-1799,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
964,2021-03-06,,OR,DRCI,,2017.0,281.0,2.0,1736.0,45.0,,,,,,,,,,,OR,"3920 East Ashwood Road, Madras, Oregon 97741",97741,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
965,2021-03-06,,OR,EOCI,,1228.0,458.0,0.0,770.0,74.0,,,,,,,,,,,OR,"2500 Westgate, Pendleton, Oregon 97801-9699",97801-9699,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
966,2021-03-06,,OR,MCCF,,389.0,39.0,0.0,350.0,15.0,,,,,,,,,,,OR,"5465 Turner Road SE, Salem, Oregon 97317 ",97317,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
967,2021-03-06,,OR,OSCI,,1427.0,247.0,0.0,1180.0,38.0,,,,,,,,,,,OR,"3405 Deer Park Drive SE, Salem, Oregon 97310-9385",97310-9385,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
968,2021-03-06,,OR,OSP,,2761.0,386.0,1.0,2375.0,123.0,,,,,,,,,,,OR,"2605 State Street, Salem, OR  97310",97310,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
969,2021-03-06,,OR,PRCF,,540.0,68.0,3.0,472.0,19.0,,,,,,,,,,,OR,"3600 13th Street, Baker City, Oregon 97814-1346",97814-1346,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
970,2021-03-06,,OR,SCCI,,292.0,27.0,1.0,265.0,7.0,,,,,,,,,,,OR,"95200 Shutters Landing Lane, North Bend, OR  97459",97459,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
971,2021-03-06,,OR,SCI,,952.0,118.0,2.0,834.0,34.0,,,,,,,,,,,OR,"4005 Aumsville Hwy SE, Salem, OR 97317",97317,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
972,2021-03-06,,OR,SFFC,,69.0,0.0,0.0,69.0,0.0,,,,,,,,,,,OR,"48300 Wilson River Hwy, Tillamook, OR 97141-9799",97141-9799,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
973,2021-03-06,,OR,SRCI,,1679.0,487.0,1.0,1192.0,227.0,,,,,,,,,,,OR,"777 Stanton Blvd., Ontario, Oregon 97914-8335",97914-8335,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
974,2021-03-06,,OR,TRCI,,3412.0,767.0,16.0,2645.0,127.0,,,,,,,,,,,OR,"82911 Beach Access Road, Umatilla, OR 97882",97882,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
975,2021-03-06,,OR,WCCF,,844.0,91.0,1.0,753.0,13.0,,,,,,,,,,,OR,"20654 Rabbit Hill Road, Lakeview, OR 97630-5000",97630-5000,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
976,2021-03-07,,OR,CCCF,,3102.0,239.0,1.0,2863.0,42.0,,,,,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
977,2021-03-07,,OR,CCIC (Intake),,4551.0,81.0,0.0,4470.0,12.0,,,,,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
978,2021-03-07,,OR,CRCI,,1555.0,257.0,4.0,1298.0,25.0,,,,,,,,,,,OR,"9111 NE Sunderland Avenue, Portland, OR 97211-1799",97211-1799,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
979,2021-03-07,,OR,DRCI,,2017.0,281.0,2.0,1736.0,45.0,,,,,,,,,,,OR,"3920 East Ashwood Road, Madras, Oregon 97741",97741,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
980,2021-03-07,,OR,EOCI,,1228.0,458.0,0.0,770.0,74.0,,,,,,,,,,,OR,"2500 Westgate, Pendleton, Oregon 97801-9699",97801-9699,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
981,2021-03-07,,OR,MCCF,,389.0,39.0,0.0,350.0,15.0,,,,,,,,,,,OR,"5465 Turner Road SE, Salem, Oregon 97317 ",97317,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
982,2021-03-07,,OR,OSCI,,1427.0,247.0,0.0,1180.0,38.0,,,,,,,,,,,OR,"3405 Deer Park Drive SE, Salem, Oregon 97310-9385",97310-9385,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
983,2021-03-07,,OR,OSP,,2761.0,386.0,1.0,2375.0,123.0,,,,,,,,,,,OR,"2605 State Street, Salem, OR  97310",97310,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
984,2021-03-07,,OR,PRCF,,540.0,68.0,3.0,472.0,19.0,,,,,,,,,,,OR,"3600 13th Street, Baker City, Oregon 97814-1346",97814-1346,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
985,2021-03-07,,OR,SCCI,,292.0,27.0,1.0,265.0,7.0,,,,,,,,,,,OR,"95200 Shutters Landing Lane, North Bend, OR  97459",97459,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
986,2021-03-07,,OR,SCI,,952.0,118.0,2.0,834.0,34.0,,,,,,,,,,,OR,"4005 Aumsville Hwy SE, Salem, OR 97317",97317,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
987,2021-03-07,,OR,SFFC,,69.0,0.0,0.0,69.0,0.0,,,,,,,,,,,OR,"48300 Wilson River Hwy, Tillamook, OR 97141-9799",97141-9799,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
988,2021-03-07,,OR,SRCI,,1679.0,487.0,1.0,1192.0,227.0,,,,,,,,,,,OR,"777 Stanton Blvd., Ontario, Oregon 97914-8335",97914-8335,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
989,2021-03-07,,OR,TRCI,,3412.0,767.0,16.0,2645.0,127.0,,,,,,,,,,,OR,"82911 Beach Access Road, Umatilla, OR 97882",97882,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
990,2021-03-07,,OR,WCCF,,844.0,91.0,1.0,753.0,13.0,,,,,,,,,,,OR,"20654 Rabbit Hill Road, Lakeview, OR 97630-5000",97630-5000,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
991,2021-03-08,,OR,CCCF,,3102.0,239.0,1.0,2863.0,42.0,,,,,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
992,2021-03-08,,OR,CCIC (Intake),,4551.0,81.0,0.0,4470.0,12.0,,,,,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
993,2021-03-08,,OR,CRCI,,1555.0,257.0,4.0,1298.0,25.0,,,,,,,,,,,OR,"9111 NE Sunderland Avenue, Portland, OR 97211-1799",97211-1799,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
994,2021-03-08,,OR,DRCI,,2017.0,281.0,2.0,1736.0,45.0,,,,,,,,,,,OR,"3920 East Ashwood Road, Madras, Oregon 97741",97741,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
995,2021-03-08,,OR,EOCI,,1228.0,458.0,0.0,770.0,74.0,,,,,,,,,,,OR,"2500 Westgate, Pendleton, Oregon 97801-9699",97801-9699,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
996,2021-03-08,,OR,MCCF,,389.0,39.0,0.0,350.0,15.0,,,,,,,,,,,OR,"5465 Turner Road SE, Salem, Oregon 97317 ",97317,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
997,2021-03-08,,OR,OSCI,,1427.0,247.0,0.0,1180.0,38.0,,,,,,,,,,,OR,"3405 Deer Park Drive SE, Salem, Oregon 97310-9385",97310-9385,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
998,2021-03-08,,OR,OSP,,2761.0,386.0,1.0,2375.0,123.0,,,,,,,,,,,OR,"2605 State Street, Salem, OR  97310",97310,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
999,2021-03-08,,OR,PRCF,,540.0,68.0,3.0,472.0,19.0,,,,,,,,,,,OR,"3600 13th Street, Baker City, Oregon 97814-1346",97814-1346,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1000,2021-03-08,,OR,SCCI,,292.0,27.0,1.0,265.0,7.0,,,,,,,,,,,OR,"95200 Shutters Landing Lane, North Bend, OR  97459",97459,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1001,2021-03-08,,OR,SCI,,952.0,118.0,2.0,834.0,34.0,,,,,,,,,,,OR,"4005 Aumsville Hwy SE, Salem, OR 97317",97317,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1002,2021-03-08,,OR,SFFC,,69.0,0.0,0.0,69.0,0.0,,,,,,,,,,,OR,"48300 Wilson River Hwy, Tillamook, OR 97141-9799",97141-9799,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1003,2021-03-08,,OR,SRCI,,1679.0,487.0,1.0,1192.0,227.0,,,,,,,,,,,OR,"777 Stanton Blvd., Ontario, Oregon 97914-8335",97914-8335,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1004,2021-03-08,,OR,TRCI,,3412.0,767.0,16.0,2645.0,127.0,,,,,,,,,,,OR,"82911 Beach Access Road, Umatilla, OR 97882",97882,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1005,2021-03-08,,OR,WCCF,,844.0,91.0,1.0,753.0,13.0,,,,,,,,,,,OR,"20654 Rabbit Hill Road, Lakeview, OR 97630-5000",97630-5000,,3546.0,24818.0,831.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1006,2021-03-09,,OR,CCCF,,3102.0,239.0,1.0,2863.0,42.0,,,,,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,3549.0,24821.0,832.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1007,2021-03-09,,OR,CCIC (Intake),,4551.0,81.0,0.0,4470.0,12.0,,,,,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,3549.0,24821.0,832.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1008,2021-03-09,,OR,CRCI,,1555.0,257.0,4.0,1298.0,25.0,,,,,,,,,,,OR,"9111 NE Sunderland Avenue, Portland, OR 97211-1799",97211-1799,,3549.0,24821.0,832.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1009,2021-03-09,,OR,DRCI,,2018.0,282.0,3.0,1736.0,45.0,,,,,,,,,,,OR,"3920 East Ashwood Road, Madras, Oregon 97741",97741,,3549.0,24821.0,832.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1010,2021-03-09,,OR,EOCI,,1228.0,458.0,0.0,770.0,74.0,,,,,,,,,,,OR,"2500 Westgate, Pendleton, Oregon 97801-9699",97801-9699,,3549.0,24821.0,832.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1011,2021-03-09,,OR,MCCF,,389.0,39.0,0.0,350.0,15.0,,,,,,,,,,,OR,"5465 Turner Road SE, Salem, Oregon 97317 ",97317,,3549.0,24821.0,832.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1012,2021-03-09,,OR,OSCI,,1427.0,247.0,0.0,1180.0,38.0,,,,,,,,,,,OR,"3405 Deer Park Drive SE, Salem, Oregon 97310-9385",97310-9385,,3549.0,24821.0,832.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1013,2021-03-09,,OR,OSP,,2761.0,386.0,1.0,2375.0,123.0,,,,,,,,,,,OR,"2605 State Street, Salem, OR  97310",97310,,3549.0,24821.0,832.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1014,2021-03-09,,OR,PRCF,,540.0,68.0,3.0,472.0,20.0,,,,,,,,,,,OR,"3600 13th Street, Baker City, Oregon 97814-1346",97814-1346,,3549.0,24821.0,832.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1015,2021-03-09,,OR,SCCI,,292.0,27.0,1.0,265.0,7.0,,,,,,,,,,,OR,"95200 Shutters Landing Lane, North Bend, OR  97459",97459,,3549.0,24821.0,832.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1016,2021-03-09,,OR,SCI,,952.0,118.0,2.0,834.0,34.0,,,,,,,,,,,OR,"4005 Aumsville Hwy SE, Salem, OR 97317",97317,,3549.0,24821.0,832.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1017,2021-03-09,,OR,SFFC,,69.0,0.0,0.0,69.0,0.0,,,,,,,,,,,OR,"48300 Wilson River Hwy, Tillamook, OR 97141-9799",97141-9799,,3549.0,24821.0,832.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1018,2021-03-09,,OR,SRCI,,1679.0,487.0,1.0,1192.0,227.0,,,,,,,,,,,OR,"777 Stanton Blvd., Ontario, Oregon 97914-8335",97914-8335,,3549.0,24821.0,832.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1019,2021-03-09,,OR,TRCI,,3413.0,768.0,17.0,2645.0,127.0,,,,,,,,,,,OR,"82911 Beach Access Road, Umatilla, OR 97882",97882,,3549.0,24821.0,832.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1020,2021-03-09,,OR,WCCF,,845.0,92.0,1.0,753.0,13.0,,,,,,,,,,,OR,"20654 Rabbit Hill Road, Lakeview, OR 97630-5000",97630-5000,,3549.0,24821.0,832.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1021,2021-03-10,3/8/2021,OR,CCCF,Tier 3,3102.0,239.0,0.0,2863.0,42.0,NR,,,,,,,,,,,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1022,2021-03-10,3/8/2021,OR,CCIC (Intake),Tier 2,4551.0,81.0,0.0,4470.0,12.0,NR,,,,,,,,,,,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1023,2021-03-10,3/8/2021,OR,CRCI,Tier 3,1555.0,257.0,0.0,1298.0,25.0,NR,,,,,,,,,,,"9111 NE Sunderland Avenue, Portland, OR 97211-1799",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1024,2021-03-10,3/8/2021,OR,DRCI,Tier 3,2018.0,282.0,3.0,1736.0,45.0,NR,,,,,,,,,,,"3920 East Ashwood Road, Madras, Oregon 97741",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1025,2021-03-10,3/8/2021,OR,EOCI,Tier 1,1228.0,458.0,0.0,770.0,74.0,NR,,,,,,,,,,,"2500 Westgate, Pendleton, Oregon 97801-9699",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1026,2021-03-10,3/8/2021,OR,MCCF,Tier 3,389.0,39.0,0.0,350.0,15.0,NR,,,,,,,,,,,"5465 Turner Road SE, Salem, Oregon 97317 ",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1027,2021-03-10,3/8/2021,OR,OSCI,Tier 2,1427.0,247.0,0.0,1180.0,38.0,NR,,,,,,,,,,,"3405 Deer Park Drive SE, Salem, Oregon 97310-9385",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1028,2021-03-10,3/8/2021,OR,OSP,Tier 2,2761.0,386.0,1.0,2375.0,123.0,NR,,,,,,,,,,,"2605 State Street, Salem, OR  97310",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1029,2021-03-10,3/8/2021,OR,PRCF,Tier 3,540.0,68.0,1.0,472.0,20.0,NR,,,,,,,,,,,"3600 13th Street, Baker City, Oregon 97814-1346",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1030,2021-03-10,3/8/2021,OR,SCCI,Tier 2,292.0,27.0,0.0,265.0,7.0,NR,,,,,,,,,,,"95200 Shutters Landing Lane, North Bend, OR  97459",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1031,2021-03-10,3/8/2021,OR,SCI,Tier 4,952.0,118.0,2.0,834.0,34.0,NR,,,,,,,,,,,"4005 Aumsville Hwy SE, Salem, OR 97317",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1032,2021-03-10,3/8/2021,OR,SFFC,Tier 2,71.0,2.0,2.0,69.0,0.0,NR,,,,,,,,,,,"48300 Wilson River Hwy, Tillamook, OR 97141-9799",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1033,2021-03-10,3/8/2021,OR,SRCI,Tier 4,1680.0,488.0,1.0,1192.0,227.0,NR,,,,,,,,,,,"777 Stanton Blvd., Ontario, Oregon 97914-8335",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1034,2021-03-10,3/8/2021,OR,TRCI,Tier 4,3413.0,768.0,11.0,2645.0,127.0,NR,,,,,,,,,,,"82911 Beach Access Road, Umatilla, OR 97882",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1035,2021-03-10,3/8/2021,OR,WCCF,Tier 4,845.0,92.0,1.0,753.0,13.0,NR,,,,,,,,,,,"20654 Rabbit Hill Road, Lakeview, OR 97630-5000",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1036,2021-03-10,44263,OR,,,,,,,,,3378.0,42.0,832.0,NR,NR,NR,NR,NR,NR,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1037,2021-03-11,3/9/2021,OR,CCCF,Tier 3,3102.0,239.0,0.0,2863.0,42.0,NR,,,,,,,,,,,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1038,2021-03-11,3/9/2021,OR,CCIC (Intake),Tier 2,4551.0,81.0,0.0,4470.0,12.0,NR,,,,,,,,,,,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1039,2021-03-11,3/9/2021,OR,CRCI,Tier 3,1555.0,257.0,0.0,1298.0,25.0,NR,,,,,,,,,,,"9111 NE Sunderland Avenue, Portland, OR 97211-1799",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1040,2021-03-11,3/9/2021,OR,DRCI,Tier 3,2018.0,282.0,3.0,1736.0,45.0,NR,,,,,,,,,,,"3920 East Ashwood Road, Madras, Oregon 97741",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1041,2021-03-11,3/9/2021,OR,EOCI,Tier 1,1228.0,458.0,0.0,770.0,74.0,NR,,,,,,,,,,,"2500 Westgate, Pendleton, Oregon 97801-9699",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1042,2021-03-11,3/9/2021,OR,MCCF,Tier 2,389.0,39.0,0.0,350.0,15.0,NR,,,,,,,,,,,"5465 Turner Road SE, Salem, Oregon 97317 ",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1043,2021-03-11,3/9/2021,OR,OSCI,Tier 2,1427.0,247.0,0.0,1180.0,38.0,NR,,,,,,,,,,,"3405 Deer Park Drive SE, Salem, Oregon 97310-9385",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1044,2021-03-11,3/9/2021,OR,OSP,Tier 2,2761.0,386.0,1.0,2375.0,123.0,NR,,,,,,,,,,,"2605 State Street, Salem, OR  97310",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1045,2021-03-11,3/9/2021,OR,PRCF,Tier 3,540.0,68.0,1.0,472.0,20.0,NR,,,,,,,,,,,"3600 13th Street, Baker City, Oregon 97814-1346",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1046,2021-03-11,3/9/2021,OR,SCCI,Tier 1,292.0,27.0,0.0,265.0,7.0,NR,,,,,,,,,,,"95200 Shutters Landing Lane, North Bend, OR  97459",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1047,2021-03-11,3/9/2021,OR,SCI,Tier 4,952.0,118.0,2.0,834.0,34.0,NR,,,,,,,,,,,"4005 Aumsville Hwy SE, Salem, OR 97317",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1048,2021-03-11,3/9/2021,OR,SFFC,Tier 2,71.0,2.0,2.0,69.0,0.0,NR,,,,,,,,,,,"48300 Wilson River Hwy, Tillamook, OR 97141-9799",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1049,2021-03-11,3/9/2021,OR,SRCI,Tier 4,1680.0,488.0,1.0,1192.0,227.0,NR,,,,,,,,,,,"777 Stanton Blvd., Ontario, Oregon 97914-8335",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
1050,2021-03-11,3/9/2021,OR,TRCI,Tier 4,3413.0,768.0,11.0,2645.0,127.0,NR,,,,,,,,,,,"82911 Beach Access Road, Umatilla, OR 97882",,,3552.0,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
