Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_staff_active,fac_staff_recovered,fac_inc_active,fac_inc_recovered,fac_staff_positive,fac_inc_positive,sum_inc_tested,sum_inc_deaths,sum_staff_deaths,sum_total_testsconducted,sum_inc_vaccinated,sum_staff_vaccinated,facility_bjs,fac_state,fac_address,fac_zip,sum_inc_recovered,sum_inc_active,sum_inc_positive,sum_staff_recovered,sum_staff_active,sum_staff_posnonprison,sum_staff_positive,match,bjs_fac_state,bjs_fac_id,bjs_fac_name,bjs_fac_address1,bjs_fac_address2,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_securityother,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_changeuse,bjs_fac_changeclose,oldnew,sum_inc_vaccinatedpercent,state
222,2021-01-11,,MO,BCC Boonville,3.0,80.0,0.0,149.0,83.0,149.0,,,,,,,,,"1216 East Morgan Street Boonville, MO 65233",,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
223,2021-01-11,,MO,CCC Chillicothe,7.0,94.0,1.0,293.0,101.0,294.0,,,,,,,,,3151 Litton Road,,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
224,2021-01-11,,MO,CTCC Fulton,2.0,11.0,0.0,24.0,13.0,24.0,,,,,,,,,"689 State Road O, P. O. Box 70",,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
225,2021-01-11,,MO,Eastern RDCC (ERDCC),6.0,176.0,12.0,501.0,182.0,513.0,,,,,,,,,2727 HIGHWAY K,,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
226,2021-01-11,,MO,Farmington CC (FCC),12.0,193.0,0.0,534.0,205.0,534.0,,,,,,,,,12393 Highway O,,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
227,2021-01-11,,MO,FRDC Fulton,9.0,82.0,48.0,615.0,91.0,663.0,,,,,,,,,1012 WEST COLUMBIA STREET,,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
228,2021-01-11,,MO,JCCC Jefferson City,6.0,133.0,2.0,345.0,139.0,347.0,,,,,,,,,8200 NO MORE VICTIMS ROAD,,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
229,2021-01-11,,MO,Kansas City Reentry Center (KCRC),3.0,11.0,7.0,7.0,14.0,14.0,,,,,,,,,"651 Mulberry Kansas City, MO 64101",,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
230,2021-01-11,,MO,MCC Moberly,5.0,78.0,1.0,234.0,83.0,235.0,,,,,,,,,5201 South Morley,,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
231,2021-01-11,,MO,Missouri Eastern CC (MECC Pacific),10.0,57.0,0.0,190.0,67.0,190.0,,,,,,,,,"18701 US Highway 66 Pacific, MO 63069",,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
232,2021-01-11,,MO,Maryville TC (MTC),0.0,47.0,0.0,50.0,47.0,50.0,,,,,,,,,"30227 US Highway 136 Maryville, MO 64468",,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
233,2021-01-11,,MO,NECC Bowling Green,4.0,129.0,2.0,100.0,133.0,102.0,,,,,,,,,"13698 Airport Road Bowling Green, MO 63334",,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
234,2021-01-11,,MO,Ozark CC (OCC Fordland),4.0,40.0,1.0,154.0,44.0,155.0,,,,,,,,,"929 Honor Camp Lane Fordland, MO 65652",,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
235,2021-01-11,,MO,PCC Potosi,3.0,124.0,0.0,142.0,127.0,142.0,,,,,,,,,"11593 State Highway O Mineral Point, MO 63660",,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
236,2021-01-11,,MO,SCCC Licking),10.0,72.0,4.0,126.0,82.0,130.0,,,,,,,,,"255 West Highway 32 Licking, MO 65542",,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
237,2021-01-11,,MO,Southeast CC (SECC Charleston),1.0,123.0,1.0,268.0,124.0,269.0,,,,,,,,,"300 East Pedro Simmons Drive Charleston, MO 63834",,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
238,2021-01-11,,MO,TCC Tipton,2.0,62.0,3.0,161.0,64.0,164.0,,,,,,,,,"619 North Osage Avenue Tipton, MO 65081",,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
239,2021-01-11,,MO,Women's Eastern RDCC (WERDCC Vandalia),12.0,66.0,10.0,521.0,78.0,531.0,,,,,,,,,"1101 East Highway 54 Vandalia, MO 63382",,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
240,2021-01-11,,MO,Western MO CC (WMCC Cameron),0.0,148.0,0.0,211.0,148.0,211.0,,,,,,,,,"609 East Pence Road Cameron, MO 64429",,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
241,2021-01-11,,MO,Western RDCC (WRDCC St. Joseph),2.0,136.0,11.0,335.0,138.0,346.0,,,,,,,,,"3401 Faraon St Joseph, MO 64506",,,,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
242,2021-01-11,,MO,,,,,,,,,42.0,5.0,,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
243,2021-01-12,,MO,ACC Jefferson City,1.0,60.0,0.0,139.0,61.0,139.0,,,,,,,,,8501 No More Victims Road,,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
244,2021-01-12,,MO,BCC Boonville,3.0,80.0,0.0,149.0,83.0,149.0,,,,,,,,,"1216 East Morgan Street Boonville, MO 65233",,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
245,2021-01-12,,MO,CCC Chillicothe,6.0,95.0,1.0,293.0,101.0,294.0,,,,,,,,,3151 Litton Road,,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
246,2021-01-12,,MO,CTCC Fulton,1.0,12.0,1.0,24.0,13.0,25.0,,,,,,,,,"689 State Road O, P. O. Box 70",,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
247,2021-01-12,,MO,Eastern RDCC (ERDCC),4.0,178.0,20.0,501.0,182.0,521.0,,,,,,,,,2727 HIGHWAY K,,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
248,2021-01-12,,MO,Farmington CC (FCC),12.0,193.0,0.0,534.0,205.0,534.0,,,,,,,,,12393 Highway O,,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
249,2021-01-12,,MO,FRDC Fulton,10.0,84.0,52.0,617.0,94.0,669.0,,,,,,,,,1012 WEST COLUMBIA STREET,,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
250,2021-01-12,,MO,JCCC Jefferson City,6.0,133.0,3.0,345.0,139.0,348.0,,,,,,,,,8200 NO MORE VICTIMS ROAD,,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
251,2021-01-12,,MO,Kansas City Reentry Center (KCRC),4.0,11.0,6.0,9.0,15.0,15.0,,,,,,,,,"651 Mulberry Kansas City, MO 64101",,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
252,2021-01-12,,MO,MCC Moberly,5.0,78.0,1.0,234.0,83.0,235.0,,,,,,,,,5201 South Morley,,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
253,2021-01-12,,MO,Missouri Eastern CC (MECC Pacific),10.0,60.0,0.0,190.0,70.0,190.0,,,,,,,,,"18701 US Highway 66 Pacific, MO 63069",,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
254,2021-01-12,,MO,Maryville TC (MTC),1.0,47.0,0.0,50.0,48.0,50.0,,,,,,,,,"30227 US Highway 136 Maryville, MO 64468",,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
255,2021-01-12,,MO,NECC Bowling Green,5.0,129.0,3.0,100.0,134.0,103.0,,,,,,,,,"13698 Airport Road Bowling Green, MO 63334",,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
256,2021-01-12,,MO,Ozark CC (OCC Fordland),4.0,40.0,1.0,154.0,44.0,155.0,,,,,,,,,"929 Honor Camp Lane Fordland, MO 65652",,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
257,2021-01-12,,MO,PCC Potosi,3.0,124.0,0.0,142.0,127.0,142.0,,,,,,,,,"11593 State Highway O Mineral Point, MO 63660",,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
258,2021-01-12,,MO,SCCC Licking),9.0,74.0,4.0,126.0,83.0,130.0,,,,,,,,,"255 West Highway 32 Licking, MO 65542",,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
259,2021-01-12,,MO,Southeast CC (SECC Charleston),1.0,123.0,1.0,268.0,124.0,269.0,,,,,,,,,"300 East Pedro Simmons Drive Charleston, MO 63834",,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
260,2021-01-12,,MO,TCC Tipton,1.0,63.0,3.0,161.0,64.0,164.0,,,,,,,,,"619 North Osage Avenue Tipton, MO 65081",,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
261,2021-01-12,,MO,Women's Eastern RDCC (WERDCC Vandalia),9.0,69.0,10.0,523.0,78.0,533.0,,,,,,,,,"1101 East Highway 54 Vandalia, MO 63382",,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
262,2021-01-12,,MO,Western MO CC (WMCC Cameron),0.0,148.0,2.0,211.0,148.0,213.0,,,,,,,,,"609 East Pence Road Cameron, MO 64429",,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
263,2021-01-12,,MO,Western RDCC (WRDCC St. Joseph),2.0,136.0,11.0,335.0,138.0,346.0,,,,,,,,,"3401 Faraon St Joseph, MO 64506",,,,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
264,2021-01-12,,MO,,,,,,,,,42.0,5.0,,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
265,2021-01-13,,MO,ACC Jefferson City,3.0,60.0,0.0,139.0,63.0,139.0,,,,,,,,,8501 No More Victims Road,,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
266,2021-01-13,,MO,BCC Boonville,3.0,81.0,0.0,149.0,84.0,149.0,,,,,,,,,"1216 East Morgan Street Boonville, MO 65233",,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
267,2021-01-13,,MO,CCC Chillicothe,5.0,96.0,0.0,294.0,101.0,294.0,,,,,,,,,3151 Litton Road,,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
268,2021-01-13,,MO,CTCC Fulton,1.0,12.0,1.0,24.0,13.0,25.0,,,,,,,,,"689 State Road O, P. O. Box 70",,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
269,2021-01-13,,MO,Eastern RDCC (ERDCC),4.0,178.0,19.0,503.0,182.0,522.0,,,,,,,,,2727 HIGHWAY K,,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
270,2021-01-13,,MO,Farmington CC (FCC),12.0,195.0,1.0,534.0,207.0,535.0,,,,,,,,,12393 Highway O,,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
271,2021-01-13,,MO,FRDC Fulton,10.0,84.0,52.0,617.0,94.0,669.0,,,,,,,,,1012 WEST COLUMBIA STREET,,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
272,2021-01-13,,MO,JCCC Jefferson City,5.0,134.0,3.0,345.0,139.0,348.0,,,,,,,,,8200 NO MORE VICTIMS ROAD,,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
273,2021-01-13,,MO,Kansas City Reentry Center (KCRC),4.0,11.0,6.0,9.0,15.0,15.0,,,,,,,,,"651 Mulberry Kansas City, MO 64101",,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
274,2021-01-13,,MO,MCC Moberly,4.0,81.0,1.0,234.0,85.0,235.0,,,,,,,,,5201 South Morley,,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
275,2021-01-13,,MO,Missouri Eastern CC (MECC Pacific),11.0,60.0,0.0,190.0,71.0,190.0,,,,,,,,,"18701 US Highway 66 Pacific, MO 63069",,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
276,2021-01-13,,MO,Maryville TC (MTC),1.0,47.0,0.0,50.0,48.0,50.0,,,,,,,,,"30227 US Highway 136 Maryville, MO 64468",,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
277,2021-01-13,,MO,NECC Bowling Green,4.0,131.0,3.0,100.0,135.0,103.0,,,,,,,,,"13698 Airport Road Bowling Green, MO 63334",,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
278,2021-01-13,,MO,Ozark CC (OCC Fordland),5.0,42.0,3.0,154.0,47.0,157.0,,,,,,,,,"929 Honor Camp Lane Fordland, MO 65652",,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
279,2021-01-13,,MO,PCC Potosi,3.0,125.0,0.0,142.0,128.0,142.0,,,,,,,,,"11593 State Highway O Mineral Point, MO 63660",,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
280,2021-01-13,,MO,SCCC Licking),8.0,75.0,3.0,128.0,83.0,131.0,,,,,,,,,"255 West Highway 32 Licking, MO 65542",,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
281,2021-01-13,,MO,Southeast CC (SECC Charleston),1.0,123.0,1.0,268.0,124.0,269.0,,,,,,,,,"300 East Pedro Simmons Drive Charleston, MO 63834",,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
282,2021-01-13,,MO,TCC Tipton,2.0,63.0,3.0,161.0,65.0,164.0,,,,,,,,,"619 North Osage Avenue Tipton, MO 65081",,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
283,2021-01-13,,MO,Women's Eastern RDCC (WERDCC Vandalia),5.0,73.0,9.0,525.0,78.0,534.0,,,,,,,,,"1101 East Highway 54 Vandalia, MO 63382",,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
284,2021-01-13,,MO,Western MO CC (WMCC Cameron),0.0,148.0,2.0,211.0,148.0,213.0,,,,,,,,,"609 East Pence Road Cameron, MO 64429",,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
285,2021-01-13,,MO,Western RDCC (WRDCC St. Joseph),2.0,136.0,8.0,339.0,138.0,347.0,,,,,,,,,"3401 Faraon St Joseph, MO 64506",,,,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
286,2021-01-13,,MO,,,,,,,,,42.0,5.0,,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
287,2021-01-14,,MO,ACC Jefferson City,3.0,60.0,0.0,139.0,63.0,139.0,,,,,,,,,8501 No More Victims Road,,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
288,2021-01-14,,MO,BCC Boonville,3.0,81.0,0.0,149.0,84.0,149.0,,,,,,,,,"1216 East Morgan Street Boonville, MO 65233",,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
289,2021-01-14,,MO,CCC Chillicothe,8.0,96.0,0.0,294.0,104.0,294.0,,,,,,,,,3151 Litton Road,,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
290,2021-01-14,,MO,CTCC Fulton,2.0,12.0,1.0,24.0,14.0,25.0,,,,,,,,,"689 State Road O, P. O. Box 70",,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
291,2021-01-14,,MO,Eastern RDCC (ERDCC),2.0,180.0,19.0,503.0,182.0,522.0,,,,,,,,,2727 HIGHWAY K,,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
292,2021-01-14,,MO,Farmington CC (FCC),13.0,195.0,2.0,534.0,208.0,536.0,,,,,,,,,12393 Highway O,,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
293,2021-01-14,,MO,FRDC Fulton,9.0,85.0,38.0,631.0,94.0,669.0,,,,,,,,,1012 WEST COLUMBIA STREET,,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
294,2021-01-14,,MO,JCCC Jefferson City,6.0,134.0,2.0,346.0,140.0,348.0,,,,,,,,,8200 NO MORE VICTIMS ROAD,,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
295,2021-01-14,,MO,Kansas City Reentry Center (KCRC),5.0,11.0,5.0,10.0,16.0,15.0,,,,,,,,,"651 Mulberry Kansas City, MO 64101",,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
296,2021-01-14,,MO,MCC Moberly,4.0,81.0,1.0,234.0,85.0,235.0,,,,,,,,,5201 South Morley,,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
297,2021-01-14,,MO,Missouri Eastern CC (MECC Pacific),12.0,60.0,0.0,190.0,72.0,190.0,,,,,,,,,"18701 US Highway 66 Pacific, MO 63069",,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
298,2021-01-14,,MO,Maryville TC (MTC),1.0,47.0,0.0,50.0,48.0,50.0,,,,,,,,,"30227 US Highway 136 Maryville, MO 64468",,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
299,2021-01-14,,MO,NECC Bowling Green,3.0,132.0,2.0,101.0,135.0,103.0,,,,,,,,,"13698 Airport Road Bowling Green, MO 63334",,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
300,2021-01-14,,MO,Ozark CC (OCC Fordland),5.0,42.0,2.0,155.0,47.0,157.0,,,,,,,,,"929 Honor Camp Lane Fordland, MO 65652",,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
301,2021-01-14,,MO,PCC Potosi,3.0,125.0,0.0,142.0,128.0,142.0,,,,,,,,,"11593 State Highway O Mineral Point, MO 63660",,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
302,2021-01-14,,MO,SCCC Licking),7.0,76.0,2.0,129.0,83.0,131.0,,,,,,,,,"255 West Highway 32 Licking, MO 65542",,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
303,2021-01-14,,MO,Southeast CC (SECC Charleston),1.0,123.0,1.0,268.0,124.0,269.0,,,,,,,,,"300 East Pedro Simmons Drive Charleston, MO 63834",,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
304,2021-01-14,,MO,TCC Tipton,2.0,63.0,1.0,163.0,65.0,164.0,,,,,,,,,"619 North Osage Avenue Tipton, MO 65081",,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
305,2021-01-14,,MO,Women's Eastern RDCC (WERDCC Vandalia),4.0,74.0,8.0,526.0,78.0,534.0,,,,,,,,,"1101 East Highway 54 Vandalia, MO 63382",,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
306,2021-01-14,,MO,Western MO CC (WMCC Cameron),1.0,148.0,2.0,211.0,149.0,213.0,,,,,,,,,"609 East Pence Road Cameron, MO 64429",,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
307,2021-01-14,,MO,Western RDCC (WRDCC St. Joseph),2.0,136.0,9.0,339.0,138.0,348.0,,,,,,,,,"3401 Faraon St Joseph, MO 64506",,,,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
308,2021-01-14,,MO,,,,,,,,,42.0,5.0,,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
309,2021-01-15,,MO,ACC Jefferson City,3.0,60.0,0.0,139.0,63.0,139.0,,,,,,,,,8501 No More Victims Road,,,,5264.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
310,2021-01-15,,MO,BCC Boonville,3.0,81.0,0.0,149.0,84.0,149.0,,,,,,,,,"1216 East Morgan Street Boonville, MO 65233",,,,5264.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
311,2021-01-15,,MO,CCC Chillicothe,10.0,96.0,0.0,294.0,106.0,294.0,,,,,,,,,3151 Litton Road,,,,5264.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
312,2021-01-15,,MO,CTCC Fulton,2.0,12.0,1.0,24.0,14.0,25.0,,,,,,,,,"689 State Road O, P. O. Box 70",,,,5264.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
